kod_consumer;name_consumer;kod_grp;kod_seti;kod_rem;kod_otr;kod_podotr
15313800;ПП Каменяр;138;15;1535;36;36
15313801;ТЕСТУ;138;15;1535;36;36
15313802;ТЕСТУ2;138;15;1535;36;36
15315000;Держлісгосп;150;15;1535;35;35
15334700;ВПВКГ;347;15;1535;50;51
72101100;Власне споживання, брутто;11;7;721;10;10
72101102;"Блок ст ""брутто""";11;7;721;15;15
72101200;Корисний відпуск;12;7;721;17;17
72101700;Втрати в мережах;17;7;721;15;15
72101701;В/в втрати;17;7;721;15;15
72101800;Виробничі потреби;18;7;721;16;16
72103001;ЗОШ №23;30;7;721;50;67
72103002;ЗОШ №23 м. Вінниці;30;7;721;50;67
72103003; Він коледж КНУБІА;30;7;721;52;52
72103004;Він. торг-ек інст. КНТЕУ;30;7;721;52;52
72103005;Вінницький нац агр унів;30;7;721;52;52
72103006;Він транспортний коледж;30;7;721;52;52
72103007;Він.обл.ендокрин центр;30;7;721;50;67
72103008;Він.мед.коледж Заболотн;30;7;721;52;52
72103009;Міс клин лікарня №3;30;7;721;50;67
72103010;ДНЗ Вище пр уч №7м.Він;30;7;721;52;52
72103011;Центр проф-тех освіти №1;30;7;721;52;52
72103012;ЗОШ 1-111ст.№36м.Вінн;30;7;721;43;43
72103013;"КЗ ""ДНЗ № 7""";30;7;721;52;52
72103014;ТІВГ 'Київський';30;7;721;52;52
72103015;"КЗ""Центр первин. МСД №6""";30;7;721;50;67
72103017;ВТЕК КНТЕУ;30;7;721;50;67
72103099;Вище профучЛДУ БЖД;30;7;721;52;52
72103100;Вінтеплокомуненерго 1614;31;7;721;50;51
72103101;"ТОВ""Хлібпром""";31;7;721;41;65
72103102;ВОТЕ (Медведева)4011;31;7;721;50;51
72103103;ВОТЕ ((Мічуріна) 4011;31;7;721;50;51
72103104;ВОТЕ (Пирогова) 4011;31;7;721;50;51
72103105;ВОТЕ (загальн) 4011;31;7;721;50;51
72103106; ТОВ Міськжитлотепло 2422;31;7;721;50;51
72103107;Лордекс Менеджмент;31;7;721;50;51
72103108;ннн;31;7;721;50;51
72103109;нгнн;31;7;721;50;51
72103110;ннн;31;7;721;50;51
72103111;ннн;31;7;721;50;51
72103112;ФОП Хован Раїса Пилип;31;7;721;50;67
72103113;ТОВ 'Логістик-Центр';31;7;721;50;67
72103114;ДПТНЗ ВЦПТОТД;31;7;721;50;67
72103115;ФОП Пилявець О Г;31;7;721;50;67
72103116;ФОП Ларюшкін О О;31;7;721;50;67
72103117;"Приват підп""Мешканець""";31;7;721;50;51
72103118;"ТОВ ""Агровіт Груп""";31;7;721;50;67
72103119;ФО Кочубинська Т.М.;31;721;7;50;67
72103120;"ТОВ ""КЕЛЕЦЬКА-СЕРВІС""";31;721;7;50;67
72103121;"ТОВ ""МІОЛ 1""";31;721;7;50;67
72103200;Освітлення, побут;32;7;721;52;52
72103300;Водоканал (ПС 110/10)1216;33;7;721;50;51
72103301;Водоканал (ПС 110/10 Авіс;33;7;721;50;51
72103302;Вінницяволоканал (НСК 1А);33;7;721;50;51
72103303;Вінницяводоканал(НСК 1А);33;7;721;50;51
72103304;Вінницяводоканал (заг.сп);33;7;721;50;51
72103305;КНС центр;33;7;721;50;51
72103400;ТТУ (в.Коцюбинського)123;34;7;721;45;47
72103401;ТТУ (Хм.ш.29) 123;34;7;721;45;47
72103402;ТТУ (Пирогова) 123;34;7;721;45;47
72103403;ТТУ (Грибоєдова);34;7;721;45;47
72103404;ТТУ (1 Травня,98) 123;34;7;721;45;47
72103405;ТТУ (Ватутіна);34;7;721;45;47
72103406;ТТУ(Тарногородського14);34;7;721;45;47
72103407;ТТУ (Келецька,54);34;7;721;45;47
72103408;ТТУ (Некрасова);34;7;721;45;47
72103409;ТТУ (Кірова);34;7;721;45;47
72103410;ТТУ (Лебединського);34;7;721;45;47
72103411;ТТУ (Хлібна);34;7;721;45;47
72103412;ТТУ (Тарногородського, 44;34;7;721;45;47
72103413;ТТУ (Келецька23);34;7;721;45;47
72103414;ТТУ (Келецька,98);34;7;721;45;47
72103415;ТТУ (Фрунзе);34;7;721;45;47
72103416;ТТУ (30 річчя Перемоги);34;7;721;45;47
72103417;ТТУ (Фрунзе,2);34;7;721;45;47
72103418;ТТУ (Хм.ш., 143);34;7;721;45;47
72103419;ТТУ (Некрасова, 127);34;7;721;45;47
72103420;ТТУ (заг.сп) 123;34;7;721;45;47
72104000;"ТОВ МФ ""Агроінвест""(3992)";40;7;721;44;44
72104002;"ТОВ ""Вінницяагромаш"" (7)";40;7;722;44;44
72104003;Сільгоспспоживачі;40;7;721;44;44
72110100;"ВАТ""Півд зах ел техн""(200";101;7;721;49;49
72110101;"ДП ""Він. мехколона"" (725)";101;7;721;49;49
72110102;ФОП Вокалюк Л.Е. (614);101;7;721;43;43
72110103;ДП НЕК Укренерго (346);101;7;721;43;43
72110104;ВАТ Агромашкомплект(2286);101;7;721;29;62
72110400;АГНКС - 2 (1237);104;7;721;45;48
72110401;АГНКС - 1 (1237);104;7;721;45;48
72110402;"ВАТ ""Вінницягаз"" (336)";104;7;721;29;62
72110403;"ТОВ ""Техногаз"" (552)";104;7;721;29;62
72110404;"УГГ ""Віннтцягаз"" (421)";104;7;721;29;62
72110405;"ДП ""Укравтогаз"" НАК Нафто";104;7;721;45;48
72110406;"ПАТ ""Конц. Галтафтогаз""";104;7;721;29;62
72110900;"ЗАТ ""Побутхім"" (1526)";109;7;721;26;61
72110901;"ТОВ ""Оспром"" (51)";109;7;721;26;61
72110902;"ЗАТ РБМУ""Хімремонт""(2795)";109;7;721;29;62
72110903;"ТОВ ""Будхіміндустрія(4331";109;7;721;29;62
72111000;"ЗАТ""Вінницявтормет"" (340)";110;7;721;43;43
72111001;"ЗАТ ""Укрвторчермет""2330";110;7;721;43;43
72111300;"Завод ""Кристал"" 1236";113;7;721;43;43
72113100;Він.інструм.з-д (1206);131;7;721;29;32
72113101;"ТОВ ""Анод"" 1284";131;7;722;29;62
72113500;ТОВ ВПК (ГПЗ)  2390;135;7;721;29;33
72113501;"ВАТ ""ВЗТА"" (1243)";135;7;721;29;34
72113502;"З-д ""пНЕВМАТИКА"" 611";135;7;721;29;34
72113503;"тов ""Бета -В"" (1314)";135;7;721;41;65
72113504;"ТОВ ""ВОМЗ"" 1210";135;7;721;29;62
72114200;"ВАТ ""Маяк"" (1200)";142;7;721;29;62
72114201;"тов ""Сармат"" (1201)";142;7;721;29;62
72114202;"ТОВ ""Енерготерм"" (2224)";142;7;721;29;62
72114203;"СНПП ""Форт"" (1202)";142;7;721;29;62
72114204;"ДІВП ""Інфракон""  (468)";142;7;721;29;62
72114205;"СП ""Анфол"" (605)";142;7;721;29;62
72114206;ВСКП 26  (130);142;7;721;49;49
72114207;"ТОВ ""Полімер"" (634)";142;7;721;29;62
72114208;"ТОВ ""Альянс холдінг""(4591";142;7;721;45;66
72114209;Вінницяспецобладнання (28;142;7;721;29;62
72114210;Торгово-економ. ін-т (230;142;7;721;52;52
72114300;ЕМУ Він.ламп.з-д (1203);143;7;721;29;62
72114301;"РТК ""Оргтехніка"" (412)";143;7;721;29;62
72114400;Військова част 3008;144;7;721;52;52
72114401;Вінвиправна колонія №86;144;7;721;52;52
72114402;УВПУДПС у Він. обл.(№1);144;7;721;52;52
72114403;КЕВ м.Вінниця (А1231);144;7;721;52;52
72114404;КЕВ м.Вінниця (А2287);144;7;721;52;52
72114405;ВМВУМВСУкраіниВінобл;144;7;721;52;52
72114500;ТОВ фирма 'Хлібпром';145;7;721;29;62
72114501;ФОП Мороз В.А;145;7;721;29;62
72115000;"ТОВ ""Компанія ВМК""(21)";150;7;721;35;35
72115001;ФОП Кіпоренко (1427);150;7;721;29;62
72115002;"ТОВ ""Регіна ЛТД"" (599)";150;7;721;35;35
