kod_consumer	name_consumer	kod_grp	kod_seti	kod_rem	kod_otr	kod_podotr
72101100	Власне споживання, брутто	11	7	721	10	10
72101200	Корисний відпуск	12	7	721	17	17
72101700	Втрати в мережах	17	7	721	15	15
72101701	В/в втрати	17	7	721	15	15
72101800	Виробничі потреби	18	7	721	16	16
72103100	Вінтеплокомуненерго 1614	31	7	721	50	51
72103105	ВОТЕ (загальн) 4011	31	7	721	50	51
72103200	Освітлення, побут	32	7	721	52	52
72103304	Вінницяводоканал (заг.сп)	33	7	721	50	51
72103420	ТТУ (заг.сп) 123	34	7	721	45	47
72104003	Сільгоспспоживачі	40	7	721	44	44
72110103	ДП НЕК Укренерго (346)	101	7	721	43	43
72110900	"ЗАТ ""Побутхім"" (1526)"	109	7	721	26	61
72111300	"Завод ""Кристал"" 1236"	113	7	721	43	43
72113100	Він.інструм.з-д (1206)	131	7	721	29	32
72113501	"ВАТ ""ВЗТА"" (1243)"	135	7	721	29	34
72113502	"З-д ""пНЕВМАТИКА"" 611"	135	7	721	29	34
72113504	"ТОВ ""ВОМЗ"" 1210"	135	7	721	29	62
72114200	"ВАТ ""Маяк"" (1200)"	142	7	721	29	62
72114203	"СНПП ""Форт"" (1202)"	142	7	721	29	62
72114204	"ДІВП ""Інфракон""  (468)"	142	7	721	29	62
72114205	"СП ""Анфол"" (605)"	142	7	721	29	62
72114207	"ТОВ ""Полімер"" (634)"	142	7	721	29	62
72114300	ЕМУ Він.ламп.з-д (1203)	143	7	721	29	62
72115003	"""Барлінек Україна"" (4047)"	150	7	721	35	35
72115218	"ПрАТ ""Будматеріали"""	152	7	721	36	63
72115302	"ПАТ ""Володарка"""	153	7	721	39	64
72115303	"ЗАТ ""Поділля "" (1240)"	153	7	721	39	64
72130001	"ТОВ""Трейдленд""(4511)"	300	7	721	52	52
72130004	ВМЖК (1234)	300	7	721	41	65
72130005	Кондитерська ф-ка (1227)	300	7	721	41	65
72130007	"ВАТ ""Дослідний завод""(83)"	300	7	721	29	62
72130008	"ТОВ ""Агроград В""  (2537) "	300	7	721	43	43
72130012	"ТОВ""Марлін""(3875)"	300	7	721	41	65
72130026	"""Аграна Фрут ..""(1247)"	300	7	721	41	65
72130029	"ТОВ ""АВІС"" (1132)"	300	7	721	41	65
72130032	Він.харчосмакова (1379)	300	7	721	41	65
72130036	"ВФ ""Панда"" (1393)"	300	7	721	41	65
72130043	"ТКЕ ""Маяк"" (1242)"	300	7	721	50	51
72130049	"ЗАТ ""Інфузія"" (2973)"	300	7	721	41	65
72133601	"ПАТ ""Концерн""Хлібпром"" "	336	7	721	41	65
72133603	"""Вінниця-млин  (1499)"	336	7	721	43	43
72135501	Аеропор (414)т 	355	7	721	45	66
72135702	"Він.дир. ""Укртелеком""(442"	357	7	721	52	52
72137003	Він.СКТБ ОПК (731)	370	7	721	49	49
72138006	Вінницький універмаг( 407	380	7	721	52	52
72138010	"ТОВ ""Петроцентр (129)"	380	7	721	52	52
72138011	"ТОВ ""Метро"" (4637)"	380	7	721	52	52
72138012	"""Об""єднання ринків""(158)"	380	7	721	52	52
72138014	"ТОВ ""Магіцентр"" (4211)"	380	7	721	52	52
72138015	"ТОВ ""Господарник"" (2925)"	380	7	721	52	52
72138022	 МПП Руслана (4711)	380	7	721	52	52
72138029	"ТОВ ""Епіцентр К"" (3185)"	380	7	721	52	52
72138032	"ТОВ ""Фроззі-Фуд"" Келецька"	380	7	721	52	52
72138034	"ТОВ ""НВП ""АРГОН"""	380	7	721	52	52
72138035	"ПІІ ""МакДональдзЮкрейн"""	380	7	721	52	52
72138047	"ТОВ ""Фруктона-ВН"""	380	721	7	52	52
72138203	ФОП Беляш О.М. (3714)	382	7	721	49	49
72140800	45-й завод (1211)	408	7	721	29	62
72144017	"ТОВ ""БМУ-3"""	440	7	721	49	49
72172401	"ОАО ""Обл.з-д ЖБіК""(144)"	724	7	721	36	63
72172404	Упр.комун.власності  (321	724	7	721	52	52
72173001	"ТОВ ""Кедр -КВ""(3761)"	730	7	721	35	35
72173011	"ТОВ ""Даймон-центр""(3890)"	730	7	721	52	52
72189900	"Ф-ка ""Динамо"" (63)"	899	7	721	39	64
72189902	УПП УТОС (214)	899	7	721	29	62
72189905	Шпиталь ІВВВ (374)	899	7	721	52	52
72189908	"ПП ""Дячун"" (630)"	899	7	721	52	52
72189917	МКЛ швидкої мед.д (486)	899	7	721	52	52
72189918	Лікарня ім.Пирогова (148)	899	7	721	52	52
72189922	"ПСК""П-во облспоживспіл(82"	899	7	721	52	52
72189940	Облонкодиспансер (211)	899	7	721	52	52
72189959	"ВМПП ""Геліка"" (1259)"	899	7	721	52	52
72189962	"ТОВ""Бастіон2009""(3651)"	899	7	721	52	52
