"kod_podotr";"kod_otr";"name_otr"
"10";"10";"СОБСТВЕННОЕ ПОТРЕБЛЕНИЕ "
"11";"11";"СОБСТВЕННЫЕ НУЖДЫ       "
"12";"11";"тепловых электростанций "
"13";"11";"сетевых предприятий     "
"14";"11";"атомних электростанций  "
"15";"15";"Т Р Э                   "
"16";"16";"ПРОИЗВОДСТВЕННЫЕ НУЖДЫ  "
"17";"17";"ОТПУСК ПОТРЕБИТЕЛЯМ     "
"18";"18";"1.ПРОМЫШЛЕННОСТЬ        "
"19";"19";"ТОПЛИВНАЯ               "
"20";"19";"нефтедобивающая         "
"21";"19";"нефтеперерабативающая   "
"22";"19";"газовая                 "
"23";"19";"угольная                "
"24";"24";"ЧЕРНАЯ МЕТАЛЛУРГИЯ      "
"25";"25";"ЦВЕТНАЯ МЕТАЛЛУРГИЯ     "
"26";"26";"ХИМИЧЕСКАЯ И НЕФТЕХИМИЧЯ"
"27";"26";"азотная                 "
"28";"26";"промишл.химнитей и волок"
"29";"29";"МАШИНОСТРОИТ.И МЕТАЛЛООР"
"30";"29";"тяжелого энергет.и транс"
"31";"29";"электротехническая      "
"32";"29";"станкостроит.и инструмен"
"33";"29";"автомобильная           "
"34";"29";"трактор.и сельск.хоз.маш"
"35";"35";"ЛЕСН.ДЕРЕВООБР.ЦЕЛЮЛОЗН."
"36";"36";"СТРОИТЕЛЬНЫХ МАТЕРИАЛ.  "
"37";"36";"цементная               "
"38";"38";"СТЕКОЛЬНАЯ И ФАРФОРОФАЯН"
"39";"39";"ЛЕГКАЯ                  "
"40";"39";"текстильная             "
"41";"41";"ПИЩЕВАЯ                 "
"42";"41";"сахарная                "
"43";"43";"ДРУГИЕ ПРОМЫШЛ.ПРОИЗВОД."
"44";"44";"11.СЕЛЬХОЗПОТРЕБИТЕЛИ   "
"45";"45";"111.ТРАНСПОРТ           "
"46";"45";"электротяга железн.тран."
"47";"45";"городской эл.транспорт  "
"48";"45";"магистральный труб.транс"
"49";"49";"1V.СТРОИТЕЛЬСТВО        "
"50";"50";"V.КОММУНАЛЬНОЕ ХОЗ-ВО   "
"51";"50";"коммунальное,быт.водосн."
"52";"52";"V1.СВЕТ,БЫТ,МЕЛКОМ.ПОТР."
"60";"19";"прочая промышленность   "
"61";"26";"прочая промышленность   "
"62";"29";"прочая промышленность   "
"63";"36";"прочая промышленность   "
"64";"39";"прочая промышленность   "
"65";"41";"прочая промышленность   "
"66";"45";"прочие потребители      "
"67";"50";"прочие потребители      "
